time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
55918,-0.000348,-0.013063,-0.002811,1.4e-05,-0.001065,-0.001064,-0.0,-0.0,-0.0,2.0,0.282024,0.281997,0.282024,0.282051,-0.0,-554.292155,-0.0,-0.0,-10.223143,-0.0
55938,-0.000349,-0.013063,-0.002688,1.4e-05,-0.0,-0.001064,1.3e-05,-0.0,-0.0,2.0,0.282024,0.281987,0.282024,0.282062,0.0,-554.707685,0.0,1.1e-05,-10.665141,0.0
55958,-0.000105,-0.013062,-0.002565,1.4e-05,-0.001064,-0.001064,0.000485,-0.0,-0.0,2.0,0.282024,0.281887,0.282024,0.282161,5e-06,-555.140677,1e-06,0.000427,-11.076163,1e-06
55978,-0.000228,-0.013062,-0.002443,-0.00105,-0.001064,-0.001064,0.001437,-0.0,-0.0,2.0,0.282024,0.281443,0.282024,0.282604,3.1e-05,-555.588713,7e-06,0.001546,-11.378769,6e-06
55998,-0.000352,-0.01294,-0.0022,-0.00105,-0.0,-0.001064,0.002204,-0.0,-0.0,2.0,0.282024,0.279582,0.282024,0.284436,0.000106,-556.04644,3.3e-05,0.00291,-11.510179,2e-05
56018,-0.000475,-0.012818,-0.002079,-0.001051,-1e-06,-0.001064,0.003339,-0.0,-0.0,2.0,0.282024,0.279027,0.282024,0.284976,0.00026,-556.50644,0.000105,0.004605,-11.441035,4.3e-05
56038,-0.000599,-0.012819,-0.001835,1.4e-05,-0.001065,-0.001064,0.004418,-0.0,-0.0,2.0,0.282024,0.278473,0.282024,0.285513,0.000595,-556.96077,0.000311,0.006393,-11.1859,7.8e-05
56058,-0.0006,-0.012818,-0.001591,1.4e-05,-1e-06,-0.001064,0.00518,-0.0,-0.0,2.0,0.282024,0.279563,0.282024,0.284454,0.00167,-557.402701,0.001202,0.007645,-10.799093,0.000123
56078,-0.000479,-0.012818,-0.001468,1.4e-05,-1e-06,-0.001064,0.00565,-0.0,-0.0,2.0,0.282024,0.279328,0.282024,0.284684,-0.005664,-557.828011,-0.006569,-0.003836,-10.35792,0.00017
56098,-0.000358,-0.01294,-0.001223,1.4e-05,-0.001065,-0.001064,0.006648,-0.0,-0.0,2.0,0.282024,0.278869,0.282024,0.285129,-0.001057,-558.235895,-0.001817,0.007352,-9.942202,0.000174
56118,-0.000238,-0.01294,-0.000978,1.4e-05,-0.001064,-0.001064,0.007607,-0.0,-0.0,2.0,0.282024,0.278412,0.282024,0.285571,-0.000316,-558.628357,-0.001348,0.012842,-9.618712,0.00023
56138,-0.000117,-0.012818,-0.000733,-0.001051,-0.001064,-0.001064,0.008543,-0.0,-0.0,2.0,0.282024,0.276452,0.282024,0.287442,0.000279,-559.009846,-0.001293,0.016052,-9.433518,0.000309
56158,-0.000242,-0.012818,-0.000368,-0.001051,-0.001064,-0.001064,0.009053,-0.0,-0.0,2.0,0.282024,0.277549,0.282024,0.286399,0.000951,-559.386317,-0.001476,0.018061,-9.410348,0.000402
56178,-0.000365,-0.012818,-0.000124,-0.001051,-0.001065,-0.001064,0.009804,-0.0,-0.0,2.0,0.282024,0.275534,0.282024,0.288307,0.001864,-559.764351,-0.001969,0.01955,-9.551446,0.000506
56198,-0.00049,-0.012818,0.000241,-0.001051,-1e-06,-0.001064,0.011331,-0.0,-0.0,2.0,0.282024,0.274678,0.282024,0.289105,0.003477,-560.150305,-0.003183,0.021109,-9.83833,0.00062
56218,-0.000491,-0.012818,0.000485,1.4e-05,-1e-06,-0.001064,0.011922,-0.0,-0.0,2.0,0.282024,0.275751,0.282024,0.288103,0.008484,-560.549485,-0.007774,0.020504,-10.231886,0.000744
56238,-0.000372,-0.012696,0.000852,1.4e-05,-0.0,-0.001064,0.012888,-0.0,-0.0,2.0,0.282024,0.275194,0.282024,0.288624,-0.03394,-560.964133,0.035813,-0.033208,-10.673227,0.00085
56258,-0.000252,-0.01294,0.001219,1.4e-05,-0.0,-0.001064,0.013798,-0.0,-0.0,2.0,0.282024,0.274646,0.282024,0.289135,-0.005973,-561.397413,0.006353,0.016175,-11.088447,0.000779
56278,-0.000131,-0.012818,0.001464,1.4e-05,-0.001064,-0.001064,0.014704,-0.0,-0.0,2.0,0.282024,0.274085,0.282024,0.289654,-0.002796,-561.846051,0.003281,0.032517,-11.399394,0.000935
56298,-1.2e-05,-0.012818,0.001831,1.4e-05,-0.001064,-0.001064,0.015157,-0.0,-0.0,2.0,0.282024,0.2737,0.282024,0.290009,-0.001019,-562.304758,0.002207,0.037804,-11.541514,0.001171
56318,-1.4e-05,-0.012818,0.002198,-0.001051,-0.001064,-0.001064,0.015733,-0.0,-0.0,2.0,0.282024,0.273207,0.282024,0.290461,0.000511,-562.766175,0.001949,0.039152,-11.483022,0.001432
56338,-0.000139,-0.012818,0.002563,-0.001037,-0.001065,-0.002128,0.016904,-0.0,-0.0,2.0,0.282024,0.270876,0.282024,0.292571,0.002449,-563.222319,0.002548,0.039382,-11.236187,0.001696
56358,-0.000263,-0.012818,0.002929,-0.001051,-0.0,-0.001064,0.016904,-0.0,-0.0,2.0,0.282024,0.27052,0.282024,0.29289,0.007163,-563.66634,0.006105,0.037346,-10.85395,0.00195
56378,-0.000388,-0.012939,0.003294,-0.00105,-0.0,-0.001064,0.019041,-0.0,-0.0,2.0,0.282024,0.270816,0.282024,0.292626,-0.033702,-564.093601,-0.036241,0.010195,-10.413453,0.002168
56398,-0.000268,-0.01294,0.003661,1.4e-05,-0.001065,-0.001064,0.019719,-0.0,-0.0,2.0,0.282024,0.270272,0.282024,0.293111,-0.00449,-564.503604,-0.007247,0.044354,-9.99527,0.00233
56418,-2.6e-05,-0.013062,0.004029,2.8e-05,-0.0,-0.002129,0.020613,-0.0,-0.0,2.0,0.282024,0.269635,0.282024,0.293676,-0.001005,-564.898125,-0.005221,0.052745,-9.667389,0.002609
56438,0.000216,-0.013185,0.004275,1.4e-05,0.0,-0.001064,0.021504,-0.0,-0.0,2.0,0.282024,0.269007,0.282024,0.29423,0.001269,-565.281485,-0.005031,0.056014,-9.477103,0.002914
56458,0.000335,-0.013063,0.004764,1.4e-05,-0.001064,-0.001065,0.02216,-0.0,-0.0,2.0,0.282024,0.268415,0.282024,0.294748,0.003519,-565.659625,-0.005704,0.057692,-9.449102,0.00323
56478,0.000333,-0.012941,0.00513,-0.00105,-0.001064,-0.001065,0.02299,-0.0,-0.0,2.0,0.282024,0.267705,0.282024,0.295367,0.006397,-566.039143,-0.007388,0.058507,-9.586268,0.003554
56498,0.000209,-0.012941,0.005374,-0.00105,0.0,-0.001064,0.023764,-0.0,-0.0,2.0,0.282024,0.265319,0.282024,0.297414,0.011341,-566.426435,-0.011346,0.057564,-9.87046,0.003886
56518,0.000207,-0.012819,0.00574,-0.001051,0.0,-0.001064,0.024518,-0.0,-0.0,2.0,0.282024,0.264579,0.282024,0.298039,0.026493,-566.826833,-0.025654,0.050942,-10.262644,0.004215
