time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
436733,-0.000942,0.000356,0.232122,0.001064,-0.001065,-0.001063,-0.0,-0.0,-0.0,3.0,0.3261,0.311477,0.3261,0.339883,,,,,,
436753,-0.000849,9.9e-05,0.232594,0.001064,-0.002129,-0.001062,0.000468,-0.0,-0.0,3.0,0.3261,0.311333,0.3261,0.34001,,,,,,
436773,-0.000727,8.5e-05,0.233108,0.001064,-0.002129,-0.001063,0.001394,-0.0,-0.0,3.0,0.3261,0.311034,0.3261,0.340276,,,,,,
436793,-0.000606,7.1e-05,0.23358,0.001064,-0.002129,-0.001063,0.001858,-0.0,-0.0,3.0,0.3261,0.309608,0.3261,0.341531,,,,,,
436813,-0.000364,4.3e-05,0.233934,-0.0,-0.001065,-0.001064,0.002488,-0.0,-0.0,3.0,0.3261,0.309438,0.3261,0.341679,,,,,,
436833,-0.000349,0.000164,0.23433,-0.0,-0.001065,-0.001064,0.003641,-0.0,-0.0,3.0,0.3261,0.307707,0.3261,0.343181,,,,,,
436853,-0.000228,0.00015,0.234802,-0.001064,-0.001064,-0.001064,0.004173,-0.0,-0.0,3.0,0.3261,0.307505,0.3261,0.343355,,,,,,
436873,-0.0002,0.000392,0.235198,-0.001065,-0.0,-0.001064,0.005456,-0.0,-0.0,3.0,0.3261,0.308287,0.3261,0.342681,,,,,,
436893,5.7e-05,0.000485,0.235552,-0.001065,0.0,-0.001064,0.006099,-0.0,-0.0,3.0,0.3261,0.308069,0.3261,0.342869,,,,,,
436913,0.000222,0.000834,0.235905,-0.001066,0.001065,-0.002128,0.007115,-0.0,-0.0,3.0,0.3261,0.308967,0.3261,0.34209,,,,,,
436933,0.000265,0.001198,0.236184,-3e-06,0.001065,-0.002128,0.008032,-0.0,-0.0,3.0,0.3261,0.308561,0.3261,0.342443,,,,,,
436953,0.000294,0.00144,0.236537,-3e-06,1e-06,-0.002128,0.008969,-0.0,-0.0,3.0,0.3261,0.306836,0.3261,0.34393,,,,,,
436973,0.000173,0.001455,0.236773,-0.001067,0.0,-0.002128,0.009435,-0.0,-0.0,3.0,0.3261,0.306506,0.3261,0.344212,,,,,,
436993,0.000416,0.001426,0.237008,-0.002131,1e-06,-0.002128,0.010361,-0.0,-0.0,3.0,0.3261,0.306131,0.3261,0.344532,,,,,,
437013,0.000765,0.001261,0.237405,-0.002131,2e-06,-0.002128,0.011622,-0.0,-0.0,3.0,0.3261,0.305659,0.3261,0.344933,,,,,,
437033,0.000993,0.001111,0.23764,-0.00213,1e-06,-0.001064,0.012347,-0.0,-0.0,3.0,0.3261,0.306625,0.3261,0.344111,,,,,,
