time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
116578,0.001103,-7.3e-05,0.353793,-0.001064,0.0,0.0,-0.0,-0.0,-0.0,2.0,0.282024,0.276948,0.282024,0.286972,,,,,,
116598,0.001223,-9.5e-05,0.353793,0.0,-0.001064,-1e-06,-0.0,-0.0,-0.0,2.0,0.282024,0.276966,0.282024,0.286955,,,,,,
116618,0.001223,-9.5e-05,0.35368,0.0,0.0,0.0,0.002568,-0.0,-0.0,2.0,0.282024,0.273663,0.282024,0.290043,,,,,,
116638,0.001202,-0.000215,0.35368,-0.001064,1e-06,-0.001064,0.006426,-0.0,-0.0,2.0,0.282024,0.274668,0.282024,0.289114,,,,,,
116658,0.001343,-0.000116,0.353567,-0.001064,-0.001064,-1e-06,0.010589,-0.0,-0.0,2.0,0.282024,0.273058,0.282024,0.290598,,,,,,
116678,0.001202,-0.000215,0.353454,-0.001064,-0.001064,-1e-06,0.010589,-0.0,-0.0,2.0,0.282024,0.270426,0.282024,0.292974,,,,,,
116698,0.001082,-0.000193,0.353454,-0.001064,0.0,0.0,0.016666,-0.0,-0.0,2.0,0.282024,0.267941,0.282024,0.295162,,,,,,
116718,0.001223,-9.4e-05,0.353279,-0.001064,0.0,0.0,0.018879,-0.0,-0.0,2.0,0.282024,0.269418,0.282024,0.293868,,,,,,
116738,0.001343,-0.000116,0.353166,0.0,0.0,0.0,0.02299,-0.0,-0.0,2.0,0.282024,0.267614,0.282024,0.295446,,,,,,
116758,0.001464,-0.000137,0.353053,0.0,-0.001064,-2e-06,0.026576,-0.0,-0.0,2.0,0.282024,0.265872,0.282024,0.296943,,,,,,
116778,0.001584,-0.000158,0.353053,0.0,2e-06,-0.001064,0.030125,-0.0,-0.0,2.0,0.282024,0.264184,0.282024,0.298372,,,,,,
116798,0.001944,-0.000223,0.35294,0.0,0.0,0.0,0.032159,-0.0,-0.0,2.0,0.282024,0.262986,0.282024,0.299371,,,,,,
116818,0.002305,-0.000287,0.352827,0.001064,0.0,0.0,0.034958,-0.0,-0.0,2.0,0.282024,0.261505,0.282024,0.300591,,,,,,
116838,0.002807,-0.000252,0.352826,0.001064,-0.001064,-3e-06,0.038086,-0.0,-0.0,2.0,0.282024,0.259892,0.282024,0.301901,,,,,,
116858,0.003549,-0.00026,0.352536,0.001065,4e-06,-0.001064,0.043429,-0.0,-0.0,2.0,0.282024,0.260043,0.282024,0.301779,,,,,,
116878,0.004532,-0.000311,0.352309,0.002128,0.0,0.0,0.045542,-0.0,-0.0,2.0,0.282024,0.261475,0.282024,0.300615,,,,,,
116898,0.005636,-0.000383,0.352194,0.002128,0.0,0.0,0.049045,-0.0,-0.0,2.0,0.282024,0.259846,0.282024,0.301937,,,,,,
116918,0.007121,-0.000399,0.352077,0.003193,-0.001064,-8e-06,0.052097,-0.0,-0.0,2.0,0.282024,0.258388,0.282024,0.303104,,,,,,
116938,0.008846,-0.000456,0.351782,0.004257,9e-06,-0.001064,0.053579,-0.0,-0.0,2.0,0.282024,0.260329,0.282024,0.301547,,,,,,
116958,0.011151,-0.00074,0.351433,0.004257,0.0,0.0,0.056511,-0.0,-0.0,2.0,0.282024,0.261827,0.282024,0.300327,,,,,,
116978,0.013761,-0.000707,0.351305,0.00532,-1.5e-05,0.001064,0.058137,-0.0,-0.0,2.0,0.282024,0.263945,0.282024,0.298572,,,,,,
116998,0.016689,-0.000975,0.350947,0.00745,-0.001064,-1.8e-05,0.061733,-0.0,-0.0,2.0,0.282024,0.265441,0.282024,0.297311,,,,,,
117018,0.020139,-0.001087,0.350516,0.008514,0.0,0.0,0.064563,-0.0,-0.0,2.0,0.282024,0.264873,0.282024,0.297791,,,,,,
117038,0.024312,-0.001324,0.350023,0.008512,-2.6e-05,0.001064,0.067113,-0.0,-0.0,2.0,0.282024,0.269752,0.282024,0.293572,,,,,,
117058,0.028726,-0.001602,0.349519,0.009576,-3.1e-05,0.001064,0.068808,-0.0,-0.0,2.0,0.282024,0.272474,0.282024,0.29113,,,,,,
117078,0.033542,-0.001702,0.349111,0.01064,-3.6e-05,0.001064,0.071155,-0.0,-0.0,2.0,0.282024,0.2726,0.282024,0.291015,,,,,,
117098,0.03884,-0.001881,0.348458,0.011706,0.0,0.0,0.073233,-0.0,-0.0,2.0,0.282024,0.275609,0.282024,0.288236,,,,,,
117118,0.044479,-0.002238,0.347675,0.011704,-4.7e-05,0.001063,0.075162,-0.0,-0.0,2.0,0.282024,0.27873,0.282024,0.285264,,,,,,
117138,0.050661,-0.002317,0.346973,0.012766,-0.000108,0.002126,0.076985,-0.0,-0.0,2.0,0.282024,0.281992,0.282024,0.282056,,,,,,
117158,0.056825,-0.002513,0.346317,0.013832,-6e-05,0.001063,0.077902,-0.0,-0.0,2.0,0.282024,0.283426,0.282024,0.280613,,,,,,
117178,0.063468,-0.002785,0.345457,0.013835,0.0,0.0,0.079914,-0.0,-0.0,2.0,0.282024,0.286915,0.282024,0.277008,,,,,,
117198,0.070356,-0.003087,0.344406,0.014896,-7.5e-05,0.001062,0.081114,-0.0,-0.0,2.0,0.282024,0.288562,0.282024,0.27526,,,,,,
117218,0.077264,-0.003271,0.343555,0.013828,-0.000164,0.002122,0.081815,-0.0,-0.0,2.0,0.282024,0.292744,0.282024,0.270684,,,,,,
117238,0.084433,-0.003371,0.342669,0.014892,-0.000179,0.002121,0.083321,-0.0,-0.0,2.0,0.282024,0.294437,0.282024,0.268771,,,,,,
117258,0.091561,-0.003701,0.341656,0.014899,0.0,0.0,0.084149,-0.0,-0.0,2.0,0.282024,0.296475,0.282024,0.26642,,,,,,
117278,0.098718,-0.003895,0.34045,0.014895,-0.000105,0.001059,0.085052,-0.0,-0.0,2.0,0.282024,0.298614,0.282024,0.263895,,,,,,
117298,0.105994,-0.004114,0.339441,0.01489,-0.000225,0.002117,0.085808,-0.0,-0.0,2.0,0.282024,0.300848,0.282024,0.26119,,,,,,
117318,0.113028,-0.004293,0.338533,0.014895,-0.00012,0.001057,0.086405,-0.0,-0.0,2.0,0.282024,0.301017,0.282024,0.260983,,,,,,
117338,0.119965,-0.004311,0.337375,0.01383,-0.000127,0.001057,0.086742,-0.0,-0.0,2.0,0.282024,0.305587,0.282024,0.255213,,,,,,
117358,0.126743,-0.004535,0.336101,0.01383,-0.000135,0.001056,0.087149,-0.0,-0.0,2.0,0.282024,0.305916,0.282024,0.254786,,,,,,
117378,0.133277,-0.004728,0.335047,0.013825,-0.000283,0.00211,0.087238,-0.0,-0.0,2.0,0.282024,0.306376,0.282024,0.254185,,,,,,
117398,0.139474,-0.004725,0.333872,0.012761,-0.000296,0.002108,0.087264,-0.0,-0.0,2.0,0.282024,0.308927,0.282024,0.250789,,,,,,
117418,0.145416,-0.004806,0.332875,0.011701,-0.000154,0.001053,0.087089,-0.0,-0.0,2.0,0.282024,0.309473,0.282024,0.250047,,,,,,
117438,0.150972,-0.004931,0.331718,0.010637,-0.00016,0.001052,0.086939,-0.0,-0.0,2.0,0.282024,0.312017,0.282024,0.246525,,,,,,
117458,0.156169,-0.004981,0.330457,0.009568,-0.000331,0.002103,0.086487,-0.0,-0.0,2.0,0.282024,0.312589,0.282024,0.245717,,,,,,
117478,0.160973,-0.005102,0.329384,0.008503,-0.000341,0.002101,0.085922,-0.0,-0.0,2.0,0.282024,0.313123,0.282024,0.244956,,,,,,
117498,0.165207,-0.005001,0.328389,0.007445,-0.001225,0.000875,0.085196,-0.0,-0.0,2.0,0.282024,0.313659,0.282024,0.244189,,,,,,
117518,0.168934,-0.004914,0.327142,0.007445,-0.001228,0.00087,0.084189,-0.0,-0.0,2.0,0.282024,0.31412,0.282024,0.243523,,,,,,
117538,0.17216,-0.004873,0.326043,0.005316,-0.000182,0.001049,0.083439,-0.0,-0.0,2.0,0.282024,0.314534,0.282024,0.242922,,,,,,
117558,0.175025,-0.00477,0.324965,0.004247,-0.000371,0.002096,0.082743,-0.0,-0.0,2.0,0.282024,0.314781,0.282024,0.242561,,,,,,
117578,0.177279,-0.004574,0.32398,0.004252,-0.000188,0.001048,0.081015,-0.0,-0.0,2.0,0.282024,0.315189,0.282024,0.241964,,,,,,
117598,0.17891,-0.004408,0.323159,0.002124,-0.000189,0.001047,0.079896,-0.0,-0.0,2.0,0.282024,0.315371,0.282024,0.241696,,,,,,
117618,0.180332,-0.004083,0.322399,0.001061,-0.001238,0.000856,0.078243,-0.0,-0.0,2.0,0.282024,0.315608,0.282024,0.241346,,,,,,
117638,0.181117,-0.003809,0.321976,1e-06,-0.001047,-0.000192,0.076529,-0.0,-0.0,2.0,0.282024,0.315793,0.282024,0.241072,,,,,,
117658,0.181418,-0.003477,0.321814,1e-06,-0.001047,-0.000192,0.074635,-0.0,-0.0,2.0,0.282024,0.315888,0.282024,0.240932,,,,,,
117678,0.18148,-0.003107,0.321669,-0.00106,-0.000855,-0.001239,0.073667,-0.0,-0.0,2.0,0.282024,0.315617,0.282024,0.241332,,,,,,
117698,0.181009,-0.002906,0.321635,-0.002125,0.000192,-0.001047,0.070857,-0.0,-0.0,2.0,0.282024,0.315835,0.282024,0.24101,,,,,,
117718,0.180385,-0.002949,0.321916,-0.002125,0.000191,-0.001047,0.068505,-0.0,-0.0,2.0,0.282024,0.317793,0.282024,0.238068,,,,,,
117738,0.179382,-0.003052,0.322231,-0.003189,0.00019,-0.001047,0.067146,-0.0,-0.0,2.0,0.282024,0.317448,0.282024,0.238592,,,,,,
117758,0.178248,-0.003134,0.322498,-0.004254,0.000189,-0.001047,0.064813,-0.0,-0.0,2.0,0.282024,0.319283,0.282024,0.235772,,,,,,
117778,0.176737,-0.003266,0.322684,-0.004253,0.000187,-0.001048,0.061496,-0.0,-0.0,2.0,0.282024,0.321346,0.282024,0.232509,,,,,,
117798,0.175214,-0.003529,0.323051,-0.004253,0.000186,-0.001048,0.058816,-0.0,-0.0,2.0,0.282024,0.32128,0.282024,0.232616,,,,,,
117818,0.173332,-0.003599,0.323202,-0.005317,0.000184,-0.001048,0.057441,-0.0,-0.0,2.0,0.282024,0.322628,0.282024,0.230431,,,,,,
117838,0.171078,-0.003741,0.323556,-0.005317,0.000181,-0.001049,0.054633,-0.0,-0.0,2.0,0.282024,0.322427,0.282024,0.230759,,,,,,
117858,0.168437,-0.003932,0.32377,-0.006381,0.000178,-0.001049,0.05152,-0.0,-0.0,2.0,0.282024,0.322182,0.282024,0.231158,,,,,,
117878,0.165543,-0.004214,0.324176,-0.007445,0.000175,-0.00105,0.049683,-0.0,-0.0,2.0,0.282024,0.3215,0.282024,0.232261,,,,,,
117898,0.162079,-0.004155,0.324539,-0.008509,0.000172,-0.00105,0.045899,-0.0,-0.0,2.0,0.282024,0.3212,0.282024,0.232744,,,,,,
117918,0.158086,-0.004254,0.324887,-0.009574,0.000168,-0.001051,0.043545,-0.0,-0.0,2.0,0.282024,0.320338,0.282024,0.234117,,,,,,
117938,0.15364,-0.004163,0.325419,-0.011701,-0.000889,-0.001215,0.03924,-0.0,-0.0,2.0,0.282024,0.319893,0.282024,0.234818,,,,,,
