time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
47358,0.009075,0.003511,-0.047262,-0.001064,-0.001064,-1e-05,-0.0,-0.0,-0.0,2.0,0.282024,0.284193,0.282024,0.279831,-6.3e-05,-544.92959,-0.000119,-1.1e-05,-10.63538,-2.3e-05
47378,0.008831,0.003505,-0.04714,-0.001064,-0.001064,-9e-06,-0.0,-0.0,-0.0,2.0,0.282024,0.284086,0.282024,0.27994,8e-05,-545.348359,2.3e-05,9.4e-05,-10.193159,-2.3e-05
47398,0.00895,0.00363,-0.047141,-0.001068,-0.001055,-0.001074,0.001893,-0.0,-0.0,2.0,0.282024,0.283304,0.282024,0.280736,3.2e-05,-545.749827,-3.7e-05,0.001141,-9.791591,-2.2e-05
47418,0.00895,0.00363,-0.047141,0.0,0.0,0.0,0.005571,-0.0,-0.0,2.0,0.282024,0.283512,0.282024,0.280525,0.000119,-546.136609,-6.4e-05,0.005744,-9.492613,-7e-06
47438,0.00895,0.00363,-0.047141,-0.0,-0.001064,-1e-05,0.009961,-0.0,-0.0,2.0,0.282024,0.28158,0.282024,0.282467,0.000415,-546.51349,-0.000147,0.012511,-9.337149,3.7e-05
47458,0.009194,0.003636,-0.047141,-4e-06,1e-05,-0.001064,0.009961,-0.0,-0.0,2.0,0.282024,0.279843,0.282024,0.284181,0.000996,-546.886567,-0.000374,0.016597,-9.344376,0.000116
47478,0.009316,0.003638,-0.047141,-4e-06,1e-05,-0.001064,0.013698,-0.0,-0.0,2.0,0.282024,0.280083,0.282024,0.283946,0.001938,-547.262386,-0.000907,0.021486,-9.512747,0.000217
47498,0.009319,0.003516,-0.047141,0.0,0.0,0.0,0.020369,-0.0,-0.0,2.0,0.282024,0.277088,0.282024,0.286839,0.003904,-547.64713,-0.002304,0.029674,-9.820594,0.000354
47518,0.009319,0.003516,-0.047141,-0.001068,1e-05,-0.001064,0.022563,-0.0,-0.0,2.0,0.282024,0.274194,0.282024,0.289554,0.011291,-548.04581,-0.008855,0.034035,-10.226129,0.00054
47538,0.009319,0.003516,-0.047141,-0.001064,-0.001064,-1e-05,0.026912,-0.0,-0.0,2.0,0.282024,0.272191,0.282024,0.291387,-0.020469,-548.46106,0.023491,0.047112,-10.668552,0.00072
47558,0.009316,0.003638,-0.047141,-0.0,-0.001064,-1e-05,0.028977,-0.0,-0.0,2.0,0.282024,0.27315,0.282024,0.290513,-0.003695,-548.89408,0.00825,0.070905,-11.073333,0.001105
47578,0.009314,0.003761,-0.047142,-0.0,-0.001064,-1e-05,0.032512,-0.0,-0.0,2.0,0.282024,0.271501,0.282024,0.292011,0.000191,-549.341838,0.00686,0.074765,-11.363973,0.001582
47598,0.009558,0.003766,-0.047142,-0.001068,1e-05,-0.001064,0.035889,-0.0,-0.0,2.0,0.282024,0.270042,0.282024,0.293316,0.003122,-549.798748,0.007391,0.077166,-11.48009,0.00209
47618,0.009802,0.003772,-0.047143,0.0,0.0,0.0,0.039335,-0.0,-0.0,2.0,0.282024,0.26853,0.282024,0.294648,0.006672,-550.257306,0.009358,0.079196,-11.395705,0.002616
47638,0.009805,0.00365,-0.047142,-4e-06,-0.001054,-0.001075,0.042938,-0.0,-0.0,2.0,0.282024,0.266816,0.282024,0.296135,0.01295,-550.709613,0.014294,0.079983,-11.128658,0.003145
47658,0.010049,0.003656,-0.047142,-0.001064,0.0,0.0,0.045202,-0.0,-0.0,2.0,0.282024,0.26584,0.282024,0.296971,0.033889,-551.149065,0.03387,0.073648,-10.735333,0.003653
47678,0.010415,0.003665,-0.047265,-0.0,-0.001064,-1.1e-05,0.047484,-0.0,-0.0,2.0,0.282024,0.264924,0.282024,0.297749,-0.16386,-551.540036,-0.16131,0.184939,-10.293405,-0.002215
47698,0.010537,0.003668,-0.047265,0.0,0.0,0.0,0.051302,-0.0,-0.0,2.0,0.282024,0.263128,0.282024,0.299253,-0.024726,-551.943504,-0.026932,0.2385,-9.876602,-0.000837
47718,0.011022,0.003802,-0.047388,0.001064,-0.001064,-1.2e-05,0.054494,-0.0,-0.0,2.0,0.282024,0.261793,0.282024,0.300355,-0.007759,-552.333241,-0.016449,0.202546,-9.550016,0.000447
