time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
32443,-5.1e-05,-0.026125,-0.014778,-0.001036,-0.001064,-0.001065,-0.0,-0.0,-0.0,3.0,0.3261,0.329956,0.3261,0.322182,-0.0,-107.518512,0.0,-0.0,-5.385665,0.0
32463,-0.000174,-0.026004,-0.01478,2.8e-05,-0.0,-0.001065,1.3e-05,-0.0,-0.0,3.0,0.3261,0.329911,0.3261,0.322228,0.0,-107.738442,0.0,8e-06,-5.700177,0.0
32483,-0.000539,-0.026007,-0.014906,0.0,0.0,0.0,0.000944,-0.0,-0.0,3.0,0.3261,0.32843,0.3261,0.323748,3e-06,-107.971926,-0.0,0.000586,-6.076732,0.0
32503,-0.000416,-0.026128,-0.014905,0.0,0.0,0.0,0.00186,-0.0,-0.0,3.0,0.3261,0.326972,0.3261,0.325226,5.8e-05,-108.221212,-1.6e-05,0.001862,-6.498398,4e-06
32523,-0.000416,-0.026128,-0.014905,2.8e-05,-0.0,-0.001065,0.00241,-0.0,-0.0,3.0,0.3261,0.327982,0.3261,0.324203,-0.000547,-108.487773,0.000682,0.003002,-6.941644,1.3e-05
32543,-0.000293,-0.026005,-0.015025,-0.001064,0.0,0.0,0.003453,-0.0,-0.0,3.0,0.3261,0.328869,0.3261,0.323299,4.7e-05,-108.772037,0.000232,0.004922,-7.376089,2.9e-05
32563,-0.00017,-0.026126,-0.015024,-0.001064,-0.001064,0.0,0.004479,-0.0,-0.0,3.0,0.3261,0.328421,0.3261,0.323757,0.000214,-109.073126,0.000295,0.00673,-7.765867,5.3e-05
32583,7.4e-05,-0.026124,-0.015021,-0.001036,-0.001064,-0.001065,0.005402,-0.0,-0.0,3.0,0.3261,0.328101,0.3261,0.324083,0.000424,-109.388686,0.000417,0.008493,-8.073229,8.7e-05
32603,-4.9e-05,-0.026003,-0.015022,2.8e-05,-0.001064,-0.001065,0.006317,-0.0,-0.0,3.0,0.3261,0.327688,0.3261,0.324502,0.000709,-109.714889,0.000602,0.010114,-8.264318,0.000131
32623,-0.000171,-0.026004,-0.015024,-0.0,-0.001064,0.0,0.007242,-0.0,-0.0,3.0,0.3261,0.326154,0.3261,0.326046,0.001104,-110.046693,0.00088,0.011573,-8.315933,0.000182
