time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
36683,0.000756,0.016101,0.048352,-0.001064,-0.001064,0.0,-0.0,-0.0,-0.0,2.0,0.282024,0.277229,0.282024,0.286705,-0.0,-271.14911,0.0,-0.0,-7.732405,-0.0
36703,0.000634,0.016104,0.048353,-0.001064,0.0,-0.001064,-0.0,-0.0,-0.0,2.0,0.282024,0.277188,0.282024,0.286744,-0.0,-271.464103,0.0,-0.0,-8.125608,-0.0
36723,0.000634,0.016104,0.048353,-0.001064,0.0,-0.001064,0.001898,-0.0,-0.0,2.0,0.282024,0.276415,0.282024,0.287477,3.1e-05,-271.795622,-1.3e-05,0.001641,-8.563411,2e-06
36743,0.000509,0.015984,0.048354,-0.001064,-0.001064,0.0,0.005559,-0.0,-0.0,2.0,0.282024,0.274838,0.282024,0.288956,8.2e-05,-272.144789,5.6e-05,0.006015,-8.999764,1.8e-05
36763,0.000509,0.015984,0.048354,0.0,-0.001064,-0.001064,0.0101,-0.0,-0.0,2.0,0.282024,0.272893,0.282024,0.290748,0.000324,-272.51076,0.000163,0.012735,-9.381393,6.2e-05
36783,0.000631,0.015981,0.048353,0.0,0.0,-0.001064,0.01216,-0.0,-0.0,2.0,0.282024,0.273513,0.282024,0.290181,0.000787,-272.890535,0.000389,0.018423,-9.655149,0.000146
36803,0.000756,0.016101,0.048352,0.0,-0.001064,0.0,0.0158,-0.0,-0.0,2.0,0.282024,0.271919,0.282024,0.291633,0.001499,-273.279111,0.000797,0.024182,-9.778691,0.000263
36823,0.001,0.016095,0.04835,0.0,-0.001064,0.0,0.019401,-0.0,-0.0,2.0,0.282024,0.270342,0.282024,0.293048,0.002642,-273.670087,0.00153,0.030009,-9.731298,0.000414
36843,0.001125,0.016214,0.048349,-0.001064,0.0,-0.001064,0.022969,-0.0,-0.0,2.0,0.282024,0.268679,0.282024,0.294517,0.004638,-274.056642,0.002982,0.035285,-9.520144,0.000596
36863,0.001127,0.016336,0.048227,-0.001064,0.0,0.0,0.026802,-0.0,-0.0,2.0,0.282024,0.265207,0.282024,0.297509,0.008957,-274.432654,0.006599,0.039315,-9.17873,0.0008
