time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
27300,-0.000243,-0.000124,-0.015627,-0.001064,-0.001064,-0.001064,-0.0,-0.0,-0.0,2.0,0.282024,0.290332,0.282024,0.273349,-0.0,-115.883389,0.0,-0.0,-8.282518,0.0
27320,-0.000243,-0.000124,-0.015627,-0.001064,-0.001064,-0.001064,0.00047,-0.0,-0.0,2.0,0.282024,0.290148,0.282024,0.273549,1e-06,-116.216662,-0.0,0.000287,-8.384026,0.0
27340,-0.000366,-3e-06,-0.015627,0.0,0.0,0.0,0.000928,-0.0,-0.0,2.0,0.282024,0.289914,0.282024,0.273803,2.1e-05,-116.551799,2e-06,0.000924,-8.338213,3e-06
27360,-0.000366,-3e-06,-0.015627,0.0,-0.001064,0.0,0.002137,-0.0,-0.0,2.0,0.282024,0.289429,0.282024,0.274329,7.7e-05,-116.882926,1.6e-05,0.002149,-8.150286,9e-06
27380,-0.000244,-2e-06,-0.015627,0.0,0.0,-0.001064,0.003097,-0.0,-0.0,2.0,0.282024,0.290823,0.282024,0.272812,0.000225,-117.20465,7.2e-05,0.003813,-7.842904,2.1e-05
27400,-0.000122,-1e-06,-0.015627,0.0,0.0,-0.001064,0.004025,-0.0,-0.0,2.0,0.282024,0.290463,0.282024,0.273205,0.000611,-117.512691,0.000307,0.005414,-7.451041,4.1e-05
27420,1e-06,-0.000122,-0.015627,0.0,0.0,0.0,0.004502,-0.0,-0.0,2.0,0.282024,0.290265,0.282024,0.273421,0.00339,-117.804265,0.002879,0.006151,-7.014822,6.6e-05
27440,1e-06,-0.000122,-0.015627,-0.001064,0.0,-0.001064,0.005421,-0.0,-0.0,2.0,0.282024,0.289844,0.282024,0.27388,-0.001102,-118.078115,-0.001673,-0.002399,-6.5729,6.4e-05
27460,-0.000121,-0.000123,-0.015627,-0.001064,-0.001064,-0.001064,0.006536,-0.0,-0.0,2.0,0.282024,0.289333,0.282024,0.274433,-0.000439,-118.33468,-0.001031,0.00667,-6.158071,7e-05
27480,-0.000121,-0.000123,-0.015627,0.0,-0.001064,0.0,0.007456,-0.0,-0.0,2.0,0.282024,0.287059,0.282024,0.276857,1e-05,-118.575369,-0.000905,0.011435,-5.795464,0.0001
27500,-0.000121,-0.000123,-0.015627,-0.001064,0.0,0.0,0.008375,-0.0,-0.0,2.0,0.282024,0.286584,0.282024,0.277356,0.000484,-118.802556,-0.000952,0.014427,-5.502702,0.000142
27520,-0.000121,-0.000123,-0.015627,0.0,-0.001064,0.0,0.009288,-0.0,-0.0,2.0,0.282024,0.287877,0.282024,0.275991,0.00102,-119.019224,-0.001111,0.016705,-5.291115,0.000191
27540,0.0,0.0,-0.015627,0.0,0.0,-0.001064,0.009742,-0.0,-0.0,2.0,0.282024,0.287557,0.282024,0.27633,0.001643,-119.22873,-0.001374,0.018391,-5.167251,0.000244
27560,0.000123,-0.000121,-0.015749,0.0,0.0,0.0,0.010271,-0.0,-0.0,2.0,0.282024,0.287295,0.282024,0.276608,0.00237,-119.434638,-0.001758,0.019587,-5.134182,0.000301
27580,0.000245,-0.00012,-0.015749,0.0,-0.001064,0.0,0.01153,-0.0,-0.0,2.0,0.282024,0.286695,0.282024,0.277239,0.003243,-119.640594,-0.002303,0.020944,-5.192357,0.000362
27600,0.000245,-0.00012,-0.015627,0.0,0.0,-0.001064,0.01247,-0.0,-0.0,2.0,0.282024,0.284357,0.282024,0.279663,0.00437,-119.850226,-0.0031,0.02235,-5.339909,0.000428
27620,0.000123,-0.000121,-0.015749,-0.001064,0.0,-0.001064,0.013379,-0.0,-0.0,2.0,0.282024,0.283808,0.282024,0.280224,0.005931,-120.067052,-0.004337,0.023247,-5.572413,0.0005
27640,0.000123,-0.000121,-0.015749,-0.001064,-0.001064,0.0,0.014286,-0.0,-0.0,2.0,0.282024,0.285001,0.282024,0.279001,0.008365,-120.294364,-0.006475,0.02322,-5.882122,0.000578
27660,0.000123,-0.000121,-0.015749,0.0,0.0,-0.001064,0.014782,-0.0,-0.0,2.0,0.282024,0.282727,0.282024,0.281318,0.013088,-120.535079,-0.010967,0.020993,-6.25679,0.000658
27680,1e-06,-0.000122,-0.015749,-0.001064,0.0,-0.001064,0.016076,-0.0,-0.0,2.0,0.282024,0.283798,0.282024,0.280234,0.028376,-120.791523,-0.02618,0.013118,-6.678321,0.000728
