time_ms,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,reference_roll,reference_pitch,reference_yaw,reference_throttle,throttle_1,throttle_2,throttle_3,throttle_4,roll_predicted,pitch_predicted,yaw_predicted,roll_rate_predicted,pitch_rate_predicted,yaw_rate_predicted
42510,-0.001296,-0.028782,0.090036,0.0,-0.002128,0.001064,-0.0,-0.0,-0.0,3.0,0.3261,0.313911,0.3261,0.3377,0.0,-297.111001,0.0,0.0,-9.000258,0.0
42530,-0.001165,-0.028666,0.089795,-0.001064,-0.001064,0.0,5.7e-05,-0.0,-0.0,3.0,0.3261,0.313925,0.3261,0.337687,0.0,-297.477397,0.0,4.9e-05,-9.413917,0.0
42550,-0.00079,-0.02856,0.089557,-0.001064,0.0,0.0,0.003745,-0.0,-0.0,3.0,0.3261,0.31403,0.3261,0.337592,3.6e-05,-297.85922,2e-06,0.003272,-9.741276,5e-06
42570,-0.000898,-0.028309,0.089296,-0.001064,0.001064,-0.001064,0.007396,-0.0,-0.0,3.0,0.3261,0.313957,0.3261,0.337659,0.000226,-298.252222,4e-05,0.008707,-9.932001,3.5e-05
42590,-0.000889,-0.028188,0.089053,-0.001064,0.002128,-0.001064,0.009927,-0.0,-0.0,3.0,0.3261,0.313024,0.3261,0.3385,0.000635,-298.650385,0.000183,0.013349,-9.954083,9.5e-05
42610,-0.000629,-0.027955,0.088691,0.0,0.001064,-0.001064,0.014197,-0.0,-0.0,3.0,0.3261,0.311545,0.3261,0.339823,0.001397,-299.046801,0.000554,0.019917,-9.803065,0.000186
42630,-0.000258,-0.027972,0.088332,0.0,0.0,0.0,0.017921,-0.0,-0.0,3.0,0.3261,0.310249,0.3261,0.340968,0.002997,-299.434834,0.001574,0.026213,-9.503891,0.000313
42650,-0.000133,-0.027977,0.088091,0.0,-0.001064,0.0,0.021521,-0.0,-0.0,3.0,0.3261,0.308874,0.3261,0.342171,0.0079,-299.809216,0.005694,0.03078,-9.104209,0.000468
42670,0.000106,-0.028232,0.08773,0.0,-0.002128,0.0,0.025045,-0.0,-0.0,3.0,0.3261,0.308816,0.3261,0.342222,-0.040879,-300.166511,-0.044309,0.008495,-8.662381,0.000626
42690,0.000719,-0.028259,0.087495,0.0,-0.002128,0.001064,0.027628,-0.0,-0.0,3.0,0.3261,0.307902,0.3261,0.343013,-0.005271,-300.506384,-0.009185,0.050636,-8.235452,0.00077
42710,0.001205,-0.028402,0.087259,0.001064,-0.001064,0.0,0.031642,-0.0,-0.0,3.0,0.3261,0.30771,0.3261,0.343179,-0.001169,-300.830076,-0.00698,0.063685,-7.871084,0.001037
42730,0.001579,-0.028296,0.087021,0.002128,-0.001064,0.0,0.033442,-0.0,-0.0,3.0,0.3261,0.306939,0.3261,0.343842,0.001583,-301.14057,-0.006857,0.070359,-7.604141,0.00134
42750,0.002314,-0.028328,0.086788,0.003193,-0.001064,0.0,0.036812,-0.0,-0.0,3.0,0.3261,0.305724,0.3261,0.344878,0.004248,-301.442126,-0.007611,0.076169,-7.456659,0.001662
42770,0.003412,-0.028495,0.086423,0.004257,-0.001064,0.0,0.040103,-0.0,-0.0,3.0,0.3261,0.304636,0.3261,0.345798,0.00734,-301.739715,-0.009139,0.081988,-7.439315,0.002004
42790,0.004886,-0.028436,0.086078,0.004257,-0.001064,0.001064,0.043427,-0.0,-0.0,3.0,0.3261,0.303646,0.3261,0.346628,0.011403,-302.038578,-0.011777,0.087242,-7.552805,0.002373
42810,0.006846,-0.028397,0.08586,0.004257,-0.002128,0.001064,0.046215,-0.0,-0.0,3.0,0.3261,0.303002,0.3261,0.347165,0.017547,-302.343839,-0.016578,0.090268,-7.788329,0.002771
42830,0.008934,-0.02824,0.085522,0.004257,-0.002128,0.001064,0.049467,-0.0,-0.0,3.0,0.3261,0.303545,0.3261,0.346712,0.029328,-302.6601,-0.027127,0.08882,-8.127009,0.003191
42850,0.011506,-0.028225,0.085189,0.004257,-0.002128,0.001064,0.052483,-0.0,-0.0,3.0,0.3261,0.305641,0.3261,0.344949,0.069486,-302.990922,-0.066251,0.072526,-8.538749,0.003603
42870,0.014086,-0.027966,0.084976,0.005321,-0.001064,0.0,0.055411,-0.0,-0.0,3.0,0.3261,0.305149,0.3261,0.345365,12.486851,-303.302341,-12.485861,-0.666358,-8.981664,-0.033197
42890,0.017274,-0.027852,0.084526,0.006385,0.0,0.0,0.056818,-0.0,-0.0,3.0,0.3261,0.306713,0.3261,0.344035,12.497717,-303.667705,-12.562959,-3.119204,-9.397103,-0.189923
42910,0.020577,-0.027865,0.084199,0.00745,0.001064,0.001064,0.060326,-0.0,-0.0,3.0,0.3261,0.307582,0.3261,0.34329,12.378945,-304.04723,-12.613285,-5.284358,-9.686135,-0.36011
42930,0.024607,-0.02803,0.083896,0.008514,0.001064,0.001064,0.063028,-0.0,-0.0,3.0,0.3261,0.308983,0.3261,0.342077,12.185563,-304.427912,-12.707631,-7.172919,-9.751557,-0.542567
42950,0.029125,-0.028212,0.083581,0.009578,0.001064,0.001064,0.065534,-0.0,-0.0,3.0,0.3261,0.309344,0.3261,0.341762,11.898242,-304.782262,-12.867037,-8.789131,-9.52333,-0.735035
42970,0.034259,-0.028296,0.083285,0.010642,0.0,0.0,0.067945,-0.0,-0.0,3.0,0.3261,0.311242,0.3261,0.340091,11.482937,-305.061658,-13.118778,-10.153839,-8.975793,-0.934238
42990,0.039631,-0.028506,0.082853,0.010642,-0.001064,0.0,0.069085,-0.0,-0.0,3.0,0.3261,0.313666,0.3261,0.337922,10.926449,-305.198952,-13.463236,-11.319556,-8.129979,-1.136357
43010,0.045382,-0.028486,0.082433,0.011706,-0.001064,0.0,0.071968,-0.0,-0.0,3.0,0.3261,0.315633,0.3261,0.33613,10.305216,-305.155738,-13.805336,-12.36629,-7.035996,-1.337656
43030,0.051254,-0.028467,0.082009,0.011706,0.0,0.0,0.073185,-0.0,-0.0,3.0,0.3261,0.318212,0.3261,0.333737,9.715723,-304.985577,-14.024711,-13.377278,-5.743271,-1.534841
43050,0.057498,-0.028338,0.081581,0.012771,0.001064,0.0,0.075162,-0.0,-0.0,3.0,0.3261,0.32067,0.3261,0.331411,9.148996,-304.785431,-14.10845,-14.397377,-4.272374,-1.724927
43070,0.064339,-0.028597,0.081179,0.012771,0.001064,0.001064,0.076962,-0.0,-0.0,3.0,0.3261,0.32339,0.3261,0.328781,8.557085,-304.622833,-14.104556,-15.395984,-2.608841,-1.904727
43090,0.071071,-0.028599,0.080642,0.012771,0.001064,0.001064,0.078629,-0.0,-0.0,3.0,0.3261,0.326127,0.3261,0.326073,7.922811,-304.516146,-14.072983,-16.252546,-0.726426,-2.07045
