time,measured,sim_initial,sim_optimized
0.0,0.08050057021588067,0.08050057021588067,0.08050057021588067
0.02,0.0803859786568545,0.08030175651732918,0.08025904942705434
0.04,0.07322400621771921,0.07971964191718547,0.07957177560077698
0.06,0.07322400621771921,0.07878355421625564,0.07850189197444031
0.08,0.07333859777674538,0.0775245749388998,0.07710909847705694
0.1,0.07333859777674538,0.07597281358717237,0.07544620468084631
0.12,0.07339589355625846,0.07415704303221195,0.0735593843469931
0.14,0.07339589355625846,0.07210468939951005,0.07148890685438188
0.16,0.07322400621771921,0.06984186924504962,0.06926986690945251
0.18,0.08015679553880217,0.0673934366811298,0.06693281184401619
0.2,0.08714688063939821,0.0647829963051389,0.06450431785461748
0.22,0.08708958485988513,0.06203298229003656,0.0620074851515829
0.24,0.08714688063939821,0.05916467749262993,0.05946244837863165
0.26,0.0943088530785335,0.05619795959908385,0.056886542456346764
0.28,0.10135623395864263,0.05315224598695213,0.05429462156381717
0.3,0.10141352973815572,0.0500450739687792,0.05170051272609957
0.32,0.11539369993934781,0.04689302126729749,0.04911394483634783
0.34,0.12244108081945693,0.04371295365739302,0.04654655007519853
0.36,0.12238378503994383,0.04051780459173026,0.04400439254922602
0.38,0.1293738701405399,0.03732306439734047,0.04149662058465397
0.4,0.136421251020649,0.034140322493258886,0.03902722441186534
0.42,0.14341133612124504,0.0309817155145835,0.03660286945379957
0.44,0.1575060978814633,0.027858436567299,0.03422668699984136
0.46,0.15762068944048946,0.024779828576049913,0.03190271929587173
0.48,0.16466807032059858,0.021755641148510377,0.02963368463219649
0.5,0.17183004275973388,0.01879368330161469,0.027421693512168003
0.52,0.17200193009827314,0.01590168153235043,0.0252689159324422
0.54,0.17916390253740844,0.01308623884171241,0.023176228991738813
0.56,0.18626857919703063,0.010353216399429564,0.02114519462084314
0.58,0.18644046653556987,0.007708057939700615,0.019175864546624937
0.6,0.1935451431951921,0.005154951182750538,0.01726923834067549
0.62,0.1935451431951921,0.0026982485704495373,0.015424830520902311
0.64,0.20059252407530123,0.00034064947723603107,0.013643100668885428
0.66,0.2074680176168711,-0.0019145491578163015,0.011923283403520198
0.68,0.21440080693795405,-0.004065873503764723,0.010265283890066442
0.7,0.22127630047952393,-0.006111146779391157,0.008668272380253968
0.72,0.22820908980060692,-0.008049763895468394,0.0071315989439789925
0.74,0.22820908980060692,-0.009880767236920766,0.005654500679952321
0.76,0.22815179402109384,-0.011604149758060504,0.004235832707921875
0.78,0.23514187912168985,-0.01322013116315276,0.0028749271001451988
0.8,0.23514187912168985,-0.014729178896004011,0.001570271159941755
0.82,0.24218926000179897,-0.01613252280036024,0.00032123814303346393
0.84,0.24218926000179897,-0.01743109174392552,-0.0008738834684648827
0.86,0.249179345102395,-0.01862688187115744,-0.002015782362302578
0.88,0.249179345102395,-0.019721338394299903,-0.003106182021046186
0.9,0.25628402176201726,-0.0207169399133035,-0.004145945256634137
0.92,0.25628402176201726,-0.021615719206290934,-0.005136668187748234
0.94,0.2563413175415303,-0.02242040796718461,-0.006079444872634845
0.96,0.25651320488006957,-0.023133622040927795,-0.006975673474502612
0.98,0.25657050065958265,-0.02375821787219355,-0.00782668242946984
1.0,0.25657050065958265,-0.024297305034280778,-0.00863365473104587
1.02,0.2564559091005565,-0.024753818484480314,-0.00939811714750379
1.04,0.24940852822044735,-0.02513121679208905,-0.010121064835760396
1.06,0.24940852822044735,-0.02543252848861377,-0.010804151140816703
1.08,0.24946582399996045,-0.025661378307753814,-0.011448249801306579
1.1,0.24241844311985133,-0.02582093855155527,-0.012055038058078633
1.12,0.24236114734033823,-0.025914822627193284,-0.012625365104104724
1.14,0.24230385156082515,-0.02594637434085591,-0.013160810674793466
1.16,0.2353137664602291,-0.02591909232671894,-0.013662297340578961
1.18,0.23537106223974216,-0.025836450424121808,-0.014131223941773604
1.2,0.23548565379876835,-0.025701794125284498,-0.014568633944776019
1.22,0.2285528644776854,-0.02551865053401812,-0.014975710759029936
1.24,0.22861016025719844,-0.025290206598956706,-0.015353625133000834
1.26,0.22866745603671154,-0.02501995877226942,-0.015703348240920696
1.28,0.22184925827465476,-0.024710943681069197,-0.016026153016390127
1.3,0.21503106051259796,-0.02436654899586171,-0.016322832652577935
1.32,0.2152029478511372,-0.023989673819064528,-0.01659471010450714
1.34,0.2083274543095673,-0.023583522710778033,-0.016842461572603395
1.36,0.20145196076799746,-0.023150881913692706,-0.017067384494897066
1.38,0.2015665523270236,-0.022694698306007573,-0.017270119186976074
1.4,0.2016238481065367,-0.02221767657424164,-0.017451850699408095
1.42,0.19469105878545373,-0.02172244415555713,-0.017613260280218816
1.44,0.18787286102339693,-0.021211640373244665,-0.01775536526254965
1.46,0.18099736748182704,-0.02068754943163042,-0.01787892428244168
1.48,0.18111195904085323,-0.020152723273735584,-0.01798476648228102
1.5,0.17417916971977027,-0.019609130039543746,-0.01807373502156998
1.52,0.17429376127879642,-0.01905916990552614,-0.018146477654171905
1.54,0.16736097195771346,-0.018504568035075098,-0.018203904850277435
1.56,0.16747556351673962,-0.017947476561207418,-0.018246513339568782
1.58,0.16054277419565666,-0.017389470250410873,-0.018275242134255028
1.6,0.15372457643359988,-0.01683237666819566,-0.018290488220234217
1.62,0.15383916799262604,-0.016277681170610066,-0.018293161142305316
1.64,0.14690637867154308,-0.01572685250707585,-0.0182836254497769
