time,measured,sim_initial,sim_optimized
0.0,-0.1377390539494499,-0.1377390539494499,-0.1377390539494499
0.02,-0.13779634972896299,-0.1374102477275035,-0.13732853569559375
0.04,-0.13074896884885387,-0.13644662243129566,-0.13613432549676213
0.06,-0.13074896884885387,-0.13489493769001618,-0.1342308216879155
0.08,-0.13074896884885387,-0.13280498717520878,-0.13169549122349397
0.1,-0.1306916730693408,-0.13022534452597026,-0.1286021242657665
0.12,-0.1306916730693408,-0.12720273077275215,-0.12501994813511752
0.14,-0.13063437728982769,-0.12378193072674311,-0.12101364216141458
0.16,-0.1306916730693408,-0.12000578985304307,-0.11664349689444577
0.18,-0.1306916730693408,-0.11591524819023864,-0.11196558621769645
0.2,-0.13063437728982769,-0.11154930374108597,-0.10703195961200145
0.22,-0.12370158796874473,-0.10694512999345235,-0.10189071448206063
0.24,-0.12364429218923166,-0.10213807044620832,-0.09658653762953842
0.26,-0.12364429218923166,-0.09716116909023159,-0.09116018945825231
0.28,-0.12364429218923166,-0.09204683916174981,-0.08564909266766421
0.3,-0.11659691130912252,-0.08682418284614173,-0.08008891297956505
0.32,-0.11665420708863561,-0.08152124523238115,-0.07450845846835161
0.34,-0.10966412198803956,-0.07616554271789201,-0.06894004456686346
0.36,-0.10966412198803956,-0.07077975617680692,-0.06340510240816352
0.38,-0.11659691130912252,-0.06538860575183504,-0.05793111799891256
0.4,-0.10966412198803956,-0.06001270038571531,-0.05253500605455272
0.42,-0.10960682620852648,-0.05467154113413325,-0.04723831398520845
0.44,-0.10261674110793044,-0.04938435910585355,-0.04205556725282119
0.46,-0.10966412198803956,-0.04416686228656105,-0.03700187525769099
0.48,-0.10960682620852648,-0.039035269512184285,-0.03208967125504028
0.5,-0.10966412198803956,-0.034003038581169515,-0.02732909143698604
0.52,-0.10261674110793044,-0.029082955693005355,-0.022729964274430123
0.54,-0.10966412198803956,-0.02428646292296784,-0.01829878741453784
0.56,-0.10966412198803956,-0.019623311221165837,-0.014042648663319
0.58,-0.10972141776755265,-0.015102959417838775,-0.009965236187546963
0.6,-0.10972141776755265,-0.010732458928147889,-0.006071042314700967
0.62,-0.10977871354706573,-0.006519372183498518,-0.0023615814380965553
0.64,-0.10983600932657882,-0.0024684038462026987,0.0011610714558379144
