time,measured,sim_initial,sim_optimized
0.0,-0.979299463437603,-0.979299463437603,-0.979299463437603
0.02,-0.9373016570545136,-0.9785022880219647,-0.9779304152099946
0.04,-0.9023512315515334,-0.9762944213659213,-0.9741762387561681
0.06,-0.8743335953696362,-0.973013486774595,-0.9686520429785197
0.08,-0.8463732549672521,-0.9689251228891957,-0.9618516578286392
0.1,-0.8044327443636758,-0.9642029954203977,-0.9541141781794373
0.12,-0.7694250230811825,-0.958955041654709,-0.9456632218601633
0.14,-0.7484547677793943,-0.9532477788887261,-0.9366450428564138
0.16,-0.7064569613963051,-0.9471218434590515,-0.9271558385999878
0.18,-0.6715065358933248,-0.9406037847894263,-0.9172593722249477
0.2,-0.6435461954909407,-0.9337105399791412,-0.9069987287812574
0.22,-0.6015483891078512,-0.9264538907635386,-0.8964044696595769
0.24,-0.5596078785042751,-0.9188429831667695,-0.8854971989258384
0.26,-0.5246001572217817,-0.9108845301155915,-0.8742938287828368
0.28,-0.5036299019199936,-0.9025846318007021,-0.8628071810494063
0.3,-0.4756695615176095,-0.8939488869538312,-0.851048004889686
0.32,-0.4406618402351161,-0.8849827619287056,-0.839024263880913
0.34,-0.4057114147321359,-0.8756907284050859,-0.8267462342758714
0.36,-0.38474115943034776,-0.8660783993959256,-0.8142209519489575
0.38,-0.3497334381478545,-0.8561505695333411,-0.8014552277634542
0.4,-0.29381275734308615,-0.8459125477949622,-0.7884575830292391
0.42,-0.265852416940702,-0.835369509072304,-0.7752344542042334
0.44,-0.22385461055761263,-0.8245268009844762,-0.7617934166745879
0.46,-0.1889041850546324,-0.8133898250948994,-0.7481415223162969
0.48,-0.13991629357094704,-0.8019640890218577,-0.7342859131712586
0.5,-0.11195595316856286,-0.7902551906451233,-0.7202337631413042
0.52,-0.0839383169866656,-0.7782688194521269,-0.7059922126775459
0.54,-0.041997806383089344,-0.7660107564695047,-0.6915684526148547
0.56,0.013980170201192086,-0.7534868691117607,-0.6769696648753749
0.58,0.05592068080476834,-0.7407031123794368,-0.662203060399099
0.6,0.09092840208726165,-0.7276655227095193,-0.6472758528496206
0.62,0.12587882759024188,-0.7143802192437448,-0.6321952731776944
0.64,0.1538964637721391,-0.7008533972383177,-0.6169685553923487
0.66,0.18884688927511933,-0.6870913294212034,-0.6016029429703498
0.68,0.20282705947631144,-0.6731003592141495,-0.586105679042064
0.7,0.23078739987869562,-0.6588869019141186,-0.5704840094382253
0.72,0.23783478075880474,-0.6444574382214633,-0.554745175024886
0.74,0.25880503606059285,-0.6298185147194628,-0.5388964129380932
0.76,0.279775291362381,-0.6149767382671685,-0.5229449503545562
0.78,0.2937554615635731,-0.5999387753426098,-0.5068980044501842
