roll_actual,pitch_actual,yaw_actual,roll_cmd,pitch_cmd,yaw_cmd,throttle_cmd,throttle_1,throttle_2,throttle_3,throttle_4,roll_modeled,pitch_modeled,yaw_modeled
0.0,-1.3,-4.7,-0.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.0,49819.8,0.0
0.0,-1.3,-4.7,-0.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.0,49829.9,0.0
0.0,-1.3,-4.7,-0.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.0,49840.0,0.0
0.0,-1.3,-4.7,0.4,-0.0,-0.0,2.0,0.3,0.2,0.3,0.4,-0.0,49850.2,0.0
0.0,-1.3,-4.7,0.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.0,49860.4,0.0
0.0,-1.3,-4.7,0.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.0,49870.7,0.0
0.0,-1.3,-4.7,0.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.1,49880.9,-0.0
0.0,-1.3,-4.7,0.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.1,49891.2,-0.0
0.0,-1.3,-4.7,0.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.2,49901.4,-0.1
0.0,-1.3,-4.7,0.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.3,49911.5,-0.1
0.0,-1.3,-4.7,0.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.4,49921.6,-0.2
0.0,-1.3,-4.7,0.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.5,49931.6,-0.3
0.0,-1.3,-4.7,0.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,0.8,49941.4,-0.6
0.0,-1.3,-4.7,0.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,1.8,49951.2,-1.5
0.0,-1.3,-4.7,0.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-12.1,49960.9,12.3
0.0,-1.3,-4.7,0.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.8,49970.3,1.7
0.1,-1.3,-4.7,0.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.6,49979.7,0.7
0.1,-1.3,-4.7,0.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.5,49989.1,0.4
0.1,-1.3,-4.7,0.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.5,49998.4,0.2
0.1,-1.3,-4.7,0.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.6,50007.6,0.0
0.1,-1.3,-4.7,0.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.6,50016.7,-0.1
0.1,-1.3,-4.7,1.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.7,50025.8,-0.3
0.1,-1.3,-4.7,1.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.7,50034.8,-0.5
0.1,-1.3,-4.7,1.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.7,50043.8,-0.6
0.1,-1.3,-4.7,1.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.8,50052.8,-0.8
0.1,-1.3,-4.7,1.1,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.8,50061.8,-1.0
0.1,-1.3,-4.7,1.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.8,50070.8,-1.2
0.1,-1.3,-4.7,1.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-0.9,50079.9,-1.4
0.1,-1.3,-4.7,1.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.0,50089.0,-1.6
0.1,-1.3,-4.7,1.2,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.1,50098.2,-1.9
0.1,-1.3,-4.7,1.3,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,-1.3,50107.5,-2.4
0.1,-1.3,-4.7,1.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-1.8,50116.8,-3.0
0.1,-1.3,-4.7,1.3,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,-3.0,50126.3,-4.6
0.1,-1.3,-4.7,1.4,-0.0,-0.0,2.0,0.3,0.2,0.3,0.3,-11.3,50135.8,-13.2
0.1,-1.3,-4.7,1.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,8.3,50145.3,6.1
0.2,-1.3,-4.7,1.4,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,4.2,50155.0,1.1
0.2,-1.3,-4.7,1.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,3.3,50164.8,-0.4
0.2,-1.3,-4.7,1.5,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,3.3,50174.8,-1.1
0.2,-1.3,-4.7,1.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,3.7,50184.8,-1.8
0.2,-1.3,-4.7,1.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,4.1,50194.9,-2.4
0.2,-1.3,-4.7,1.6,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,4.5,50205.1,-3.1
0.2,-1.3,-4.7,1.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,5.1,50215.3,-3.8
0.2,-1.3,-4.7,1.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,5.6,50225.5,-4.5
0.2,-1.3,-4.7,1.7,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,6.3,50235.8,-5.4
