0.3	-0.1	0.1	0.1	-0.0	-0.0	2.0	28.2	28.4	28.2	28.0	0.1	0.0	-6.5
0.3	-0.1	0.1	0.1	-0.0	-0.0	2.0	28.2	28.4	28.2	28.0	0.1	0.0	-6.5
0.3	-0.1	0.1	0.4	-0.0	-0.0	2.0	28.2	15.7	28.2	35.4	0.1	0.0	-6.5
0.3	-0.1	0.1	0.4	-0.0	-0.0	2.0	28.2	23.4	28.2	32.1	0.1	0.0	-6.5
0.3	-0.1	0.1	0.4	-0.0	-0.0	2.0	28.2	23.2	28.2	32.2	0.1	0.0	-6.5
0.3	-0.1	0.1	0.5	-0.0	-0.0	2.0	28.2	25.9	28.2	30.3	0.1	0.0	-6.5
0.3	-0.1	0.1	0.5	-0.0	-0.0	2.0	28.2	26.9	28.2	29.5	0.1	0.0	-6.5
0.3	-0.1	0.1	0.5	-0.0	-0.0	2.0	28.2	24.9	28.2	31.1	0.1	0.0	-6.5
0.3	-0.1	0.1	0.5	-0.0	-0.0	2.0	28.2	26.6	28.2	29.7	0.2	0.0	-6.5
0.3	-0.1	0.2	0.6	-0.0	-0.0	2.0	28.2	24.7	28.2	31.2	0.2	0.0	-6.5
0.3	-0.1	0.2	0.6	-0.0	-0.0	2.0	28.2	26.7	28.2	29.6	0.2	0.0	-6.5
0.3	-0.1	0.2	0.6	-0.0	-0.0	2.0	28.2	27.2	28.2	29.2	0.2	0.0	-6.5
0.4	-0.1	0.2	0.7	-0.0	-0.0	2.0	28.2	25.6	28.2	30.5	0.2	0.0	-6.5
0.4	-0.1	0.2	0.7	-0.0	-0.0	2.0	28.2	27.0	28.2	29.4	0.3	0.0	-6.5
0.4	-0.1	0.2	0.7	-0.0	-0.0	2.0	28.2	27.5	28.2	28.9	0.3	0.0	-6.5
0.4	-0.1	0.2	0.7	-0.0	-0.0	2.0	28.2	28.2	28.2	28.2	0.3	0.0	-6.5
0.4	-0.1	0.2	0.8	-0.0	-0.0	2.0	28.2	25.8	28.2	30.4	0.3	0.0	-6.5
0.4	-0.1	0.2	0.8	-0.0	-0.0	2.0	28.2	27.4	28.2	29.0	0.3	0.0	-6.5
0.4	-0.1	0.2	0.9	-0.0	-0.0	2.0	28.2	25.7	28.2	30.4	0.3	0.0	-6.5
0.5	-0.1	0.2	0.9	-0.0	-0.0	2.0	28.2	27.3	28.2	29.0	0.3	0.0	-6.5
0.5	-0.1	0.2	0.9	-0.0	-0.0	2.0	28.2	27.4	28.2	28.9	0.4	0.0	-6.5
0.5	-0.1	0.2	1.0	-0.0	-0.0	2.0	28.2	26.2	28.2	30.0	0.4	0.0	-6.5
0.5	-0.1	0.2	1.0	-0.0	-0.0	2.0	28.2	27.4	28.2	29.0	0.4	0.0	-6.5
0.5	-0.1	0.2	1.0	-0.0	-0.0	2.0	28.2	27.4	28.2	28.9	0.4	0.0	-6.5
0.6	-0.1	0.2	1.1	-0.0	-0.0	2.0	28.2	26.6	28.2	29.7	0.4	0.0	-6.5
0.5	-0.1	0.2	1.1	-0.0	-0.0	2.0	28.2	26.5	28.2	29.8	0.4	0.0	-6.5
0.6	-0.1	0.2	1.1	-0.0	-0.0	2.0	28.2	28.2	28.2	28.2	0.5	0.0	-6.5
0.6	-0.1	0.2	1.2	-0.0	-0.0	2.0	28.2	26.3	28.2	30.0	0.5	0.0	-6.5
0.6	-0.1	0.2	1.2	-0.0	-0.0	2.0	28.2	26.7	28.2	29.6	0.5	0.0	-6.5
0.6	-0.1	0.2	1.2	-0.0	-0.0	2.0	28.2	27.8	28.2	28.6	0.5	0.0	-6.5
0.6	-0.1	0.2	1.2	-0.0	-0.0	2.0	28.2	27.8	28.2	28.6	0.5	0.0	-6.5
0.7	-0.1	0.2	1.3	-0.0	-0.0	2.0	28.2	25.8	28.2	30.3	0.5	0.0	-6.5
0.7	-0.1	0.2	1.3	-0.0	-0.0	2.0	28.2	27.1	28.2	29.2	0.6	0.0	-6.5
0.7	-0.1	0.2	1.3	-0.0	-0.0	2.0	28.2	27.8	28.2	28.6	0.6	0.0	-6.5
0.7	-0.1	0.2	1.4	-0.0	-0.0	2.0	28.2	25.7	28.2	30.4	0.6	0.0	-6.5
0.7	-0.1	0.2	1.4	-0.0	-0.0	2.0	28.2	27.0	28.2	29.4	0.6	0.0	-6.5
0.7	-0.1	0.2	1.4	-0.0	-0.0	2.0	28.2	27.2	28.2	29.2	0.6	0.0	-6.5
0.8	-0.1	0.2	1.4	-0.0	-0.0	2.0	28.2	28.4	28.2	28.0	0.6	0.0	-6.5
0.8	-0.1	0.2	1.5	-0.0	-0.0	2.0	28.2	26.4	28.2	29.8	0.6	0.0	-6.5
0.8	-0.1	0.2	1.5	-0.0	-0.0	2.0	28.2	27.0	28.2	29.3	0.7	0.0	-6.5
0.8	-0.1	0.2	1.6	-0.0	-0.0	2.0	28.2	25.3	28.2	30.7	0.7	0.0	-6.5
0.8	-0.1	0.2	1.6	-0.0	-0.0	2.0	28.2	26.5	28.2	29.7	0.7	0.0	-6.5
0.9	-0.1	0.2	1.6	-0.0	-0.0	2.0	28.2	27.5	28.2	28.9	0.7	0.0	-6.5
0.9	-0.1	0.1	1.6	-0.0	-0.0	2.0	28.2	27.3	28.2	29.0	0.7	0.0	-6.5
0.9	-0.1	0.1	1.7	-0.0	-0.0	2.0	28.2	26.0	28.2	30.2	0.8	0.0	-6.5
0.9	-0.1	0.1	1.7	-0.0	-0.0	2.0	28.2	26.5	28.2	29.7	0.8	0.0	-6.5
